Puccinia phragmitis
Puccinia phyllostachydis
Puccinia physedrae
Puccinia physospermi
Puccinia pimpinellae
Puccinia pittieriana
Puccinia plagianthi
Puccinia poarum
Puccinia podophylli
Puccinia podospermi
Puccinia polemonii
Puccinia polliniae
Puccinia polygalae
Puccinia polygoni-amphibii
Puccinia polygonicola
Puccinia polypogonobia
Puccinia polysora
Puccinia pounamu
Puccinia pratensis
Puccinia primulae
Puccinia pritzeliana
Puccinia prostii
Puccinia psidii
Puccinia ptarmicae
Puccinia pulverulenta
Puccinia pulvinata
Puccinia punctata
Puccinia punctiformis
Puccinia purpurea
Puccinia pusilla
Puccinia pygmaea
Puccinia rara
Puccinia rautahi
Puccinia recondita
Puccinia reidii
Puccinia rhei-undulati
Puccinia rhodosensis[3]
Puccinia ribesii-caricis
Puccinia ribis
Puccinia rigensis
Puccinia rimosa
Puccinia romagnoliana
Puccinia rottboelliae
Puccinia rubefaciens
Puccinia ruelliae
Puccinia rufescens
Puccinia rufipes
Puccinia rugulosa
Puccinia ruizensis
Puccinia rumicis-scutati
Puccinia saccardoi
Puccinia saniculae
Puccinia santolinae
Puccinia satyrii
Puccinia saxifragae
Puccinia saxifragae-ciliatae
Puccinia scandica
Puccinia schedonnardii
Puccinia schileana
Puccinia schoenus
Puccinia schroeteri
Puccinia scirpi
Puccinia scleriae
Puccinia scorzonerae
Puccinia septentrionalis
Puccinia sessilis
Puccinia sherardiana
Puccinia silphii
Puccinia smyrnii
Puccinia soldanellae
Puccinia sorghi
Puccinia sparganioides
Puccinia spegazzinii
Puccinia stachydis
Puccinia striiformis
Puccinia suaveolens
Puccinia subcircinata
Puccinia subnitens
Puccinia substriata
Puccinia swertiae
Puccinia tanaceti
Puccinia tararua
Puccinia tekapo
Puccinia tenuispora
Puccinia thalaspeos
Puccinia thaliae
Puccinia thesii
Puccinia thuemenii
Puccinia thwaitesii
Puccinia thymi
Puccinia tiritea
Puccinia tirolensis
Puccinia toa
Puccinia triticina
Puccinia tumida
Puccinia turgida
Puccinia tweediana
Puccinia uliginosa
Puccinia umbilici
Puccinia unciniarum
Puccinia urticae
Puccinia urticata
Puccinia ustalis
Puccinia variabilis
Puccinia verbesinae
Puccinia veronicae
Puccinia veronicae-longifoliae
Puccinia verruca
Puccinia vincae
Puccinia violae
Puccinia virgae-aureae
Puccinia virgata
Puccinia vittadiniae
Puccinia vossii
Puccinia wahlenbergiae
Puccinia wattiana
Puccinia whakatipu
Puccinia willemetiae
Puccinia windsoriae
Puccinia xanthii
Puccinia ziziphorae
Puccinia zoysiae
Uromyces apiosporus
Uromyces appendiculatus
Uromyces beticola
Uromyces ciceris-arietini
Uromyces dianthi
Uromyces elegans
Uromyces euphorbiae
Uromyces graminis
Uromyces inconspicuus
Uromyces lineolatus subsp. nearcticus
Uromyces medicaginis
Uromyces musae
Uromyces oblongus
Uromyces pisi-sativi - synonym: Uromyces pisi
Uromyces proëminens var. poinsettiae
Uromyces trifolii-repentis var. fallens
Uromyces viciae-fabae var. viciae-fabae
Uromyces vignae
